# file...... ./glm_output/meter_33.csv
# date...... Tue May  2 10:06:58 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,tn_meter_4br_124:measured_real_power,tn_meter_4br_136:measured_real_power,tn_meter_1br_34:measured_real_power,tn_meter_2br_330:measured_real_power,tn_meter_3br_322:measured_real_power,tn_meter_5br_90:measured_real_power,tn_meter_3br_327:measured_real_power,tn_meter_4br_337:measured_real_power,tn_meter_1br_128:measured_real_power,tn_meter_5br_311:measured_real_power,tn_meter_1br_313:measured_real_power,tn_meter_1br_107:measured_real_power,tn_meter_1br_265:measured_real_power,tn_meter_2br_279:measured_real_power,tn_meter_1br_85:measured_real_power,tn_meter_5br_1:measured_real_power,tn_meter_3br_234:measured_real_power,tn_meter_3br_311:measured_real_power,tn_meter_2br_216:measured_real_power,tn_meter_5br_215:measured_real_power,tn_meter_2br_208:measured_real_power,tn_meter_4br_257:measured_real_power,tn_meter_5br_252:measured_real_power,tn_meter_3br_247:measured_real_power,tn_meter_4br_27:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+4486.66,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4486.66,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+4492.38,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4492.38,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+4492.88,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4492.88,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4492.74,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4490.62,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4488.35,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4492.01,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4492.52,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
