# file...... ./glm_output/meter_25.csv
# date...... Tue May  2 10:06:58 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,tn_meter_4br_69:measured_real_power,tn_meter_4br_152:measured_real_power,tn_meter_1br_74:measured_real_power,tn_meter_3br_31:measured_real_power,tn_meter_4br_169:measured_real_power,tn_meter_4br_177:measured_real_power,tn_meter_1br_206:measured_real_power,tn_meter_4br_39:measured_real_power,tn_meter_4br_79:measured_real_power,tn_meter_4br_339:measured_real_power,tn_meter_5br_18:measured_real_power,tn_meter_2br_210:measured_real_power,tn_meter_4br_29:measured_real_power,tn_meter_4br_340:measured_real_power,tn_meter_5br_117:measured_real_power,tn_meter_2br_276:measured_real_power,tn_meter_3br_210:measured_real_power,tn_meter_2br_139:measured_real_power,tn_meter_1br_221:measured_real_power,tn_meter_5br_291:measured_real_power,tn_meter_2br_56:measured_real_power,tn_meter_5br_251:measured_real_power,tn_meter_4br_43:measured_real_power,tn_meter_3br_128:measured_real_power,tn_meter_4br_322:measured_real_power
2021-12-25 00:00:00 UTC,+4529.94,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4529.94,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+4528.28,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4525.81,+0,+4525.81,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4528.28
2021-12-25 00:02:00 UTC,+4528.28,+0,+0,+0,+0,+0,+0,+0,+0,+4525.81,+0,+0,+0,+0,+4525.81,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4528.28
2021-12-25 00:03:00 UTC,+4528.83,+0,+0,+0,+0,+0,+0,+0,+0,+4526.37,+0,+0,+0,+0,+4526.37,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4528.83
2021-12-25 00:04:00 UTC,+4529.39,+0,+0,+0,+0,+0,+0,+0,+0,+4526.92,+0,+0,+0,+0,+4526.92,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+4529.47,+0,+0,+0,+0,+0,+0,+0,+0,+4527.01,+0,+0,+0,+0,+4527.01,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4530.58,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4529.94,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
